code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
63254,Nohanent,1802,718,1084,15,9,1060,78,167,214,298,57,96,44,3,12,16,15,33,6,2,7,6,4,,1,,,,,,,,,,,,,,1,,
63275,Perrier,644,267,377,8,11,358,21,57,54,104,16,44,10,1,11,6,16,8,2,1,,2,2,,1,,,,,,,,,,,,,,1,,1
63284,Pont-du-Château,8915,4081,4834,57,65,4712,316,666,645,1719,199,351,196,34,105,82,75,214,33,6,13,25,13,,2,,,2,2,,1,,,,,,5,,5,,
63306,La Roche-Noire,523,209,314,4,11,299,13,48,49,99,14,19,12,1,8,10,8,9,3,,,2,,,1,,1,,,,,1,,,,,1,,,,
63327,Saint-Bonnet-près-Riom,1765,650,1115,18,19,1078,54,144,182,356,65,106,50,3,13,14,36,29,8,6,,5,3,,,,,,,,,,,,3,,,,1,,
63424,Surat,480,185,295,7,10,278,5,23,34,119,5,15,18,2,3,5,20,17,5,2,2,2,1,,,,,,,,,,,,,,,,,,
63456,Vichel,267,98,169,7,2,160,11,14,21,58,7,19,5,,4,6,7,5,1,,1,,,,1,,,,,,,,,,,,,,,,
63458,Villeneuve,108,38,70,2,1,67,2,7,8,25,7,4,2,,4,,3,4,,,1,,,,,,,,,,,,,,,,,,,,
63026,Aydat,2161,788,1373,18,16,1339,86,181,241,345,131,88,54,15,30,26,57,35,13,5,11,4,7,,2,,,,3,1,,,1,,,,3,,,,
63112,Clerlande,457,185,272,5,3,264,5,33,40,93,15,21,15,,4,2,13,17,1,1,,,3,,,,,,,1,,,,,,,,,,,
63268,Pardines,223,65,158,6,4,148,3,18,22,46,2,18,2,3,5,3,9,15,1,,,1,,,,,,,,,,,,,,,,,,,
