code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
01088,Charnoz-sur-Ain,799,293,506,6,1,499,16,47,50,219,27,47,41,5,11,9,4,5,7,5,1,2,1,,,,1,,,1,,,,,,,,,,,
01106,Cize,142,61,81,2,0,79,9,4,13,31,5,3,7,,1,,2,1,,2,,,1,,,,,,,,,,,,,,,,,,
01141,Cuzieu,389,155,234,1,7,226,20,29,26,91,14,22,6,2,2,1,6,4,1,1,,,,,,,,,,,1,,,,,,,,,,
01160,Ferney-Voltaire,4281,2058,2223,15,17,2191,472,366,350,310,198,141,119,55,45,33,21,20,20,11,10,7,5,2,2,1,1,1,1,,,,,,,,,,,,
01258,Montceaux,968,435,533,10,9,514,18,61,40,244,22,49,34,3,7,9,7,2,7,2,1,4,3,,,,1,,,,,,,,,,,,,,
01307,Port,606,267,339,8,8,323,34,48,21,120,15,42,22,1,3,3,4,1,3,,,2,,3,,,,,,1,,,,,,,,,,,
01369,Saint-Just,789,328,461,3,4,454,33,69,71,140,22,39,31,4,10,6,8,7,2,7,,1,3,,,,,,,,,1,,,,,,,,,
01090,Châtenay,284,104,180,5,2,173,6,19,18,79,7,18,9,2,,1,8,2,1,2,,,1,,,,,,,,,,,,,,,,,,
01385,Saint-Rémy,797,312,485,6,7,472,12,72,60,180,18,33,34,6,12,9,9,8,5,8,1,1,2,,1,,,1,,,,,,,,,,,,,
01386,Saint-Sorlin-en-Bugey,901,354,547,10,8,529,20,94,71,185,24,45,23,8,7,4,17,13,4,5,2,1,4,,,,1,,,,,,1,,,,,,,,
01387,Saint-Sulpice,169,64,105,1,1,103,3,11,8,44,7,11,2,,4,1,5,3,2,,,,1,,,,,,,,,,,1,,,,,,,
01424,Tramoyes,1469,544,925,10,8,907,37,157,109,315,59,88,74,5,13,19,7,11,5,,,2,3,,,,,,,,,3,,,,,,,,,
01078,Challex,862,451,411,5,5,401,33,78,47,104,31,22,25,6,14,11,16,3,1,,3,,4,,2,,1,,,,,,,,,,,,,,
01079,Champagne-en-Valromey,577,249,328,9,10,309,37,44,47,93,33,10,12,1,7,,11,5,5,1,1,,,,,,,,,,,,,,2,,,,,,
01080,Champdor-Corcelles,551,224,327,8,6,313,13,43,28,111,13,26,14,10,12,5,9,17,3,,2,5,2,,,,,,,,,,,,,,,,,,
01081,Champfromier,533,229,304,1,3,300,19,36,39,112,14,9,23,5,5,9,9,8,6,,1,3,2,,,,,,,,,,,,,,,,,,
01231,Manziat,1580,639,941,17,13,911,24,175,88,376,22,76,54,5,19,16,18,10,9,5,3,4,6,,,,,,,,,,,,,1,,,,,
01453,Arvière-en-Valromey,589,233,356,9,9,338,26,47,35,113,22,30,15,4,8,5,18,4,4,,1,3,1,,,,,,1,,,,,,1,,,,,,
01457,Vonnas,2282,1162,1120,13,25,1082,48,180,98,431,51,86,67,16,14,13,27,17,9,10,3,1,4,4,1,,1,,,,,,,1,,,,,,,
01084,Chanoz-Châtenay,653,263,390,6,9,375,9,56,37,162,24,26,32,3,6,3,3,5,4,2,,1,2,,,,,,,,,,,,,,,,,,
01085,La Chapelle-du-Châtelard,304,115,189,3,2,184,2,18,12,94,7,22,14,2,5,1,2,1,2,,,,1,,1,,,,,,,,,,,,,,,,
01087,Charix,218,71,147,0,4,143,9,18,19,46,9,10,7,4,1,2,6,3,3,2,1,,3,,,,,,,,,,,,,,,,,,
01094,Chavannes-sur-Reyssouze,570,270,300,7,4,289,8,39,19,142,3,18,20,,6,6,15,7,,2,1,1,2,,,,,,,,,,,,,,,,,,
01111,Conand,129,40,89,2,0,87,7,11,15,29,2,5,5,,2,3,4,1,1,,,,1,,1,,,,,,,,,,,,,,,,
01112,Condamine,295,106,189,5,2,182,8,17,12,85,6,18,13,1,3,3,7,,8,1,,,,,,,,,,,,,,,,,,,,,
01113,Condeissiat,582,240,342,7,6,329,10,43,35,151,18,27,14,4,3,3,7,6,2,4,,1,,,1,,,,,,,,,,,,,,,,
01116,Contrevoz,423,161,262,3,2,257,18,33,33,95,15,13,19,3,8,4,5,3,3,1,,2,2,,,,,,,,,,,,,,,,,,
01140,Curtafond,538,191,347,6,7,334,12,38,35,153,15,23,25,2,3,6,4,7,3,1,2,2,2,,,,,,,,,,,1,,,,,,,
01364,Saint-Jean-sur-Reyssouze,575,289,286,10,5,271,11,25,27,122,9,14,17,,12,3,9,11,3,4,1,2,,,,,,,,,,,,1,,,,,,,
01365,Saint-Jean-sur-Veyle,889,414,475,13,12,450,18,80,41,185,21,34,16,4,6,6,14,12,5,2,2,,,,,,,,,1,,3,,,,,,,,,
01368,Saint-Julien-sur-Veyle,593,217,376,7,9,360,5,48,41,143,19,29,18,6,9,8,12,7,8,2,,2,2,,1,,,,,,,,,,,,,,,,
01398,Savigneux,1040,433,607,12,6,589,17,102,55,268,17,47,18,5,11,12,19,6,8,,,2,1,,,,,,,,,1,,,,,,,,,
01408,Simandre-sur-Suran,565,234,331,1,5,325,39,33,43,109,18,19,18,6,5,5,15,3,4,4,1,1,,,2,,,,,,,,,,,,,,,,
01415,Talissieu,300,125,175,4,5,166,4,24,18,64,10,12,11,2,8,,1,7,2,,2,,1,,,,,,,,,,,,,,,,,,
01416,Tenay,611,312,299,2,3,294,20,34,30,125,13,10,17,5,8,1,7,9,12,1,,1,,,,,1,,,,,,,,,,,,,,
01449,Villette-sur-Ain,599,240,359,0,13,346,8,59,19,147,25,29,28,1,6,8,4,7,1,2,,,1,,1,,,,,,,,,,,,,,,,
01450,Villieu-Loyes-Mollon,2999,1234,1765,21,21,1723,102,243,149,709,79,125,128,10,28,20,30,38,25,6,7,7,4,8,2,,,,,,,3,,,,,,,,,
01072,Ceyzériat,2513,1065,1448,21,18,1409,100,229,196,408,85,141,78,22,16,25,25,33,12,19,10,5,3,,2,,,,,,,,,,,,,,,,
01073,Ceyzérieu,924,350,574,6,10,558,35,57,85,201,44,29,32,6,17,8,16,15,3,2,2,2,,,1,,,,,1,,2,,,,,,,,,
01195,Jasseron,1381,480,901,15,14,872,54,136,136,275,58,64,58,10,14,9,16,10,2,18,6,4,2,,,,,,,,,,,,,,,,,,
01196,Jayat,885,396,489,8,11,470,11,53,28,248,21,43,21,1,5,5,13,2,7,7,2,2,1,,,,,,,,,,,,,,,,,,
01089,Château-Gaillard,1536,640,896,13,7,876,71,98,82,405,23,58,36,6,12,14,18,26,6,5,2,4,4,2,3,,,,,,,1,,,,,,,,,
01127,Courmangoux,391,144,247,3,3,241,16,33,34,80,11,18,14,2,7,5,5,9,2,2,1,1,1,,,,,,,,,,,,,,,,,,
01128,Courtes,231,104,127,0,2,125,7,11,12,58,3,7,5,2,10,5,2,2,,,,1,,,,,,,,,,,,,,,,,,,
01167,Garnerans,569,277,292,3,7,282,12,34,23,131,5,25,19,3,5,8,6,2,2,5,1,,1,,,,,,,,,,,,,,,,,,
01199,Jujurieux,1587,708,879,14,10,855,69,89,112,340,60,43,38,7,13,13,28,14,11,3,4,3,,,2,2,,,,,,2,,,,,2,,,,
01269,Nantua,1668,914,754,10,17,727,111,95,49,261,19,47,46,11,12,7,20,14,10,6,1,4,6,5,1,,1,,,,,,,1,,,,,,,
01421,Torcieu,545,224,321,5,2,314,23,40,32,161,2,10,19,1,6,3,1,7,3,1,1,2,1,,1,,,,,,,,,,,,,,,,
01425,La Tranclière,242,81,161,4,6,151,6,14,18,72,5,14,6,,1,2,4,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,
01115,Confrançon,999,468,531,10,15,506,30,60,45,247,16,28,24,2,6,5,11,12,7,3,,4,4,,1,,,,,,,1,,,,,,,,,
01184,Hautecourt-Romanèche,619,246,373,2,2,369,15,37,64,133,19,24,27,2,5,6,9,10,6,3,1,3,3,,,,,,,,,,,,,,2,,,,
01422,Tossiat,1121,433,688,11,12,665,24,95,73,261,38,53,43,4,13,5,17,13,11,5,1,5,2,,1,,,,,,,1,,,,,,,,,
01216,Lhuis,655,237,418,9,5,404,21,62,37,181,19,22,13,2,10,3,17,2,8,,,,4,,,,1,,,,,1,,1,,,,,,,
01219,Lompnas,123,33,90,1,1,88,5,5,7,28,8,16,8,2,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,
01237,Martignat,1202,616,586,5,9,572,65,57,35,258,18,49,31,5,18,3,12,4,3,3,,4,6,,,,,,,1,,,,,,,,,,,
01239,Massignieu-de-Rives,533,166,367,3,5,359,12,48,47,138,10,28,17,3,10,7,13,12,5,2,2,2,,,,,2,,,,,1,,,,,,,,,
01264,Montracol,793,306,487,8,9,470,23,32,55,205,14,45,30,2,14,10,18,8,4,5,1,4,,,,,,,,,,,,,,,,,,,
01277,Nivollet-Montgriffon,120,49,71,2,1,68,2,11,6,31,3,3,2,,,1,4,3,1,,,,1,,,,,,,,,,,,,,,,,,
01279,Oncieu,82,30,52,2,1,49,2,3,5,17,7,3,2,1,1,1,3,1,1,,,,,,1,,,,,,,,,,1,,,,,,
01313,Prévessin-Moëns,4525,2201,2324,14,26,2284,227,600,343,328,216,188,155,34,39,39,23,13,19,10,20,9,13,,1,,,,,3,,,1,,,,,2,1,,
01403,Serrières-de-Briord,993,479,514,14,6,494,37,66,53,220,9,20,13,4,14,11,8,21,10,,5,3,,,,,,,,,,,,,,,,,,,
01015,Arboys en Bugey,562,231,331,3,4,324,15,46,52,110,15,26,16,4,5,8,12,5,5,,2,1,,,,,2,,,,,,,,,,,,,,
01016,Arbigny,332,137,195,1,13,181,7,14,16,82,4,18,17,,4,1,8,4,4,,,2,,,,,,,,,,,,,,,,,,,
01017,Argis,326,104,222,1,2,219,21,20,19,91,6,2,19,6,10,6,7,2,3,2,1,2,,,,,,,,,,,,1,,,,,,1,
01019,Armix,37,11,26,0,0,26,,4,5,8,1,,1,1,,1,,1,1,,,,2,,,,,,,,,,1,,,,,,,,
01021,Ars-sur-Formans,1088,393,695,19,1,675,30,120,54,218,39,84,69,4,15,12,10,7,7,4,,2,,,,,,,,,,,,,,,,,,,
01024,Attignat,2481,1150,1331,18,16,1297,77,193,142,539,46,115,84,6,18,11,13,20,10,11,3,3,3,,,,1,,,,,2,,,,,,,,,
01025,Bâgé-Dommartin,3163,1451,1712,36,26,1650,64,242,181,709,54,135,73,15,22,35,49,39,12,2,3,6,9,,,,,,,,,,,,,,,,,,
01032,Béligneux,2094,993,1101,13,17,1071,107,141,100,442,30,77,82,10,21,6,16,16,8,1,3,4,2,2,2,,,,,,,1,,,,,,,,,
01033,Valserhône,9841,5578,4263,60,82,4121,633,440,441,1429,187,211,296,60,84,42,93,76,41,11,13,32,9,9,5,,2,,,2,,1,,2,2,,,,,,
01034,Belley,6217,3172,3045,34,65,2946,307,415,356,1015,130,217,191,35,57,37,39,66,42,3,2,12,6,11,3,1,1,,,,,,,,,,,,,,
01035,Belleydoux,278,111,167,4,1,162,14,23,18,56,19,8,9,2,1,1,1,1,1,2,,,2,2,1,,,,,,,,1,,,,,,,,
01036,Valromey-sur-Séran,1108,447,661,7,5,649,59,84,106,180,42,42,33,12,6,20,26,19,7,5,4,1,1,,1,,,,,,,,,,,,1,,,,
01038,Bény,602,254,348,3,6,339,14,46,28,140,13,26,21,3,4,4,15,11,,6,,2,1,,1,2,,,,,,2,,,,,,,,,
01040,Béréziat,379,152,227,2,1,224,15,33,23,102,5,10,8,,1,3,16,4,,3,,1,,,,,,,,,,,,,,,,,,,
01041,Bettant,573,224,349,8,8,333,32,30,34,128,19,17,19,3,5,7,13,17,5,1,,2,1,,,,,,,,,,,,,,,,,,
01056,Boyeux-Saint-Jérôme,332,127,205,2,4,199,10,29,8,90,13,10,11,,,5,12,5,4,,,,1,,,,,,,,,1,,,,,,,,,
01057,Boz,400,174,226,5,4,217,10,19,28,114,7,11,4,1,2,6,5,5,1,1,,2,1,,,,,,,,,,,,,,,,,,
01058,Brégnier-Cordon,685,331,354,2,8,344,17,36,41,143,19,3,19,7,6,7,7,11,3,1,2,,2,,,,,,,,20,,,,,,,,,,
01060,Brénod,416,137,279,11,2,266,12,39,32,96,11,30,16,8,5,2,7,3,3,,1,,1,,,,,,,,,,,,,,,,,,
01077,Challes-la-Montagne,142,43,99,0,2,97,5,17,9,31,4,9,9,1,4,,4,2,1,,,1,,,,,,,,,,,,,,,,,,,
01170,Béard-Géovreissiat,742,361,381,6,7,368,33,41,21,185,10,24,20,1,3,4,10,8,4,,1,2,1,,,,,,,,,,,,,,,,,,
01180,Grilly,598,265,333,5,3,325,13,80,45,71,24,42,18,6,4,6,4,1,2,,3,,3,,1,,1,,,1,,,,,,,,,,,
01123,Cormoranche-sur-Saône,922,414,508,5,10,493,20,81,56,206,10,60,14,8,6,7,4,8,,2,3,4,4,,,,,,,,,,,,,,,,,,
01124,Cormoz,509,234,275,6,8,261,8,36,18,128,1,13,20,1,6,3,13,7,5,1,,1,,,,,,,,,,,,,,,,,,,
01224,Loyettes,2197,1127,1070,12,18,1040,77,149,78,491,32,52,63,7,25,7,20,17,5,4,3,4,3,,2,,,,,,,,,1,,,,,,,
01146,Dompierre-sur-Chalaronne,302,112,190,6,6,178,3,24,21,85,2,17,8,3,6,2,,,3,,,,2,,1,,1,,,,,,,,,,,,,,
01147,Domsure,415,194,221,2,3,216,10,22,14,104,3,25,10,7,1,2,8,2,6,1,,,,,1,,,,,,,,,,,,,,,,
01149,Douvres,876,298,578,7,9,562,25,68,79,189,35,35,43,6,18,16,19,7,9,3,4,1,2,,,,,,,,,3,,,,,,,,,
01150,Drom,183,72,111,2,3,106,16,9,18,26,6,6,3,2,1,1,8,,3,2,,3,1,,,,,,,,,1,,,,,,,,,
01151,Druillat,866,305,561,15,8,538,26,66,43,224,34,39,42,3,10,2,21,7,10,5,,,4,,,,,,,,,,,,2,,,,,,
01152,Échallon,627,239,388,3,5,380,11,41,47,160,26,27,14,6,2,6,20,8,3,2,2,3,2,,,,,,,,,,,,,,,,,,
01238,Massieux,2111,877,1234,7,7,1220,92,205,174,441,45,100,60,17,14,17,15,17,9,2,3,3,2,,,,1,,,,,3,,,,,,,,,
01173,Gex,6992,3810,3182,30,20,3132,325,556,432,746,265,227,179,60,55,65,53,28,49,10,22,8,23,21,1,,1,1,,1,,,1,1,,,1,1,,,
01174,Giron,124,37,87,1,3,83,2,13,9,21,15,8,4,1,2,,2,1,2,,1,1,1,,,,,,,,,,,,,,,,,,
01175,Gorrevod,644,270,374,9,13,352,13,72,28,135,11,34,12,3,3,2,11,23,2,,,2,,,1,,,,,,,,,,,,,,,,
01185,Plateau d'Hauteville,3175,1477,1698,32,22,1644,95,257,221,526,110,112,97,19,35,19,47,47,26,5,3,9,4,,3,,3,,1,,,1,,1,2,,,,,,1
01187,Haut Valromey,628,255,373,11,9,353,28,58,54,93,19,22,24,4,5,4,17,9,6,3,,2,3,,1,,,,,,,1,,,,,,,,,
01188,Illiat,526,246,280,10,4,266,7,22,15,128,5,31,31,,6,2,7,2,4,2,2,,,,,,,,,,,,,,,,,,,2,
01210,Lélex,206,93,113,2,1,110,4,18,7,34,5,13,12,3,1,4,4,,1,1,1,,1,,,,,,,1,,,,,,,,,,,
01211,Lent,1152,467,685,6,11,668,27,105,64,286,28,43,37,3,8,12,20,8,6,12,3,4,1,,1,,,,,,,,,,,,,,,,
01212,Lescheroux,563,278,285,5,10,270,11,30,25,142,6,17,11,1,3,3,5,10,2,1,,2,,,,,,,,1,,,,,,,,,,,
01213,Leyment,1040,492,548,8,4,536,38,58,47,232,30,38,44,3,7,7,14,8,2,,2,2,2,,1,,,,,,,1,,,,,,,,,
01245,Bohas-Meyriat-Rignat,747,277,470,6,4,460,31,51,80,141,26,27,42,9,5,2,21,2,6,6,3,2,4,1,,,,,,,,,,,1,,,,,,
01246,Mézériat,1675,848,827,20,15,792,49,120,91,331,22,53,42,12,15,9,14,9,9,3,1,3,5,,1,,,,,2,,,,1,,,,,,,
01247,Mijoux,237,101,136,1,0,135,7,16,9,36,10,14,11,2,7,3,10,2,6,1,1,,,,,,,,,,,,,,,,,,,,
01248,Mionnay,1814,709,1105,14,8,1083,55,163,107,412,68,86,86,11,23,19,10,18,9,2,2,5,6,,,,,,,,,,,1,,,,,,,
01266,Montrevel-en-Bresse,1988,913,1075,17,22,1036,30,163,130,425,41,63,78,10,17,8,27,17,9,8,1,6,3,,,,,,,,,,,,,,,,,,
01267,Nurieux-Volognat,757,321,436,7,9,420,27,47,28,194,8,34,28,10,13,3,13,4,1,2,,5,2,,,,,,,,,,,1,,,,,,,
01304,Pont-d'Ain,2025,1029,996,13,18,965,84,84,105,397,32,66,76,14,23,21,19,13,9,6,4,4,6,,1,,,,,,,1,,,,,,,,,
01305,Pont-de-Vaux,1502,761,741,11,10,720,43,147,94,232,38,61,35,11,8,5,9,22,4,4,2,2,1,,2,,,,,,,,,,,,,,,,
01322,Reyrieux,3857,1499,2358,27,15,2316,132,399,294,761,133,240,140,12,44,36,27,31,25,6,13,5,12,,1,,,,,,,4,,,,,1,,,,
01323,Reyssouze,750,351,399,6,12,381,11,62,30,181,12,29,20,4,8,4,6,6,5,2,1,,,,,,,,,,,,,,,,,,,,
01333,Saint-André-de-Corcy,2733,1162,1571,20,15,1536,102,209,170,601,64,124,89,13,39,22,27,31,17,6,2,8,7,,2,,1,,,,,,,2,,,,,,,
01337,Saint-Bénigne,972,415,557,13,15,529,21,79,54,194,20,48,29,2,17,6,26,16,4,4,4,3,,1,1,,,,,,,,,,,,,,,,
01342,Sainte-Croix,448,145,303,3,5,295,26,40,20,95,18,32,22,3,12,4,9,4,4,1,1,3,,,,,1,,,,,,,,,,,,,,
01343,Saint-Cyr-sur-Menthon,1392,682,710,16,19,675,22,82,77,300,27,57,49,12,11,9,15,3,5,2,,1,1,,1,,,,,,,,,1,,,,,,,
01344,Saint-Denis-lès-Bourg,4674,1964,2710,32,31,2647,211,474,417,752,132,185,157,30,41,48,28,49,23,45,11,10,6,,1,,,,,,,,,5,19,,2,1,,,
01352,Saint-Étienne-sur-Reyssouze,430,177,253,8,3,242,9,29,19,121,9,18,11,1,4,4,8,2,1,,3,1,1,,1,,,,,,,,,,,,,,,,
01354,Saint-Genis-Pouilly,5618,3122,2496,16,21,2459,437,469,311,477,179,151,150,40,45,45,25,35,24,13,7,9,7,23,5,,1,,,,,3,,,,,,,3,,
01356,Saint-Georges-sur-Renon,182,66,116,1,1,114,3,13,7,50,9,9,7,3,1,5,4,,1,,,,,,,,,,,,,,,,1,,,,,,1
01363,Saint-Jean-le-Vieux,1440,613,827,17,7,803,44,100,94,352,41,47,36,6,12,8,18,24,12,1,1,4,1,,1,,,,,,,,,,,,,,,,1
01374,Saint-Martin-du-Mont,1494,588,906,10,15,881,42,122,93,349,62,65,52,8,8,13,26,14,6,8,1,8,4,,,,,,,,,,,,,,,,,,
01375,Saint-Martin-le-Châtel,652,259,393,10,4,379,16,42,28,160,27,27,18,1,8,10,18,8,5,3,3,1,2,,2,,,,,,,,,,,,,,,,
01383,Saint-Paul-de-Varax,1140,520,620,7,8,605,31,73,43,307,9,30,52,3,8,4,19,7,5,8,1,2,,,1,,1,,,,,1,,,,,,,,,
01384,Saint-Rambert-en-Bugey,1323,724,599,18,8,573,45,56,72,252,20,18,37,12,15,1,10,18,8,1,1,3,3,,,,,,,1,,,,,,,,,,,
01388,Saint-Trivier-de-Courtes,718,338,380,5,17,358,6,70,14,163,7,34,21,6,9,,15,4,2,1,1,3,1,,1,,,,,,,,,,,,,,,,
01389,Saint-Trivier-sur-Moignans,1283,541,742,7,12,723,25,78,73,365,24,54,49,4,5,4,14,7,6,4,5,,1,,2,,,,,,,3,,,,,,,,,
01390,Saint-Vulbas,895,389,506,2,3,501,12,45,21,282,12,38,34,5,10,8,10,8,2,,2,5,4,,3,,,,,,,,,,,,,,,,
01410,Sonthonnax-la-Montagne,235,71,164,5,2,157,7,14,27,69,8,8,5,1,2,,7,7,,,1,,,,1,,,,,,,,,,,,,,,,
01411,Souclin,198,68,130,2,2,126,7,15,8,71,,8,3,1,5,1,4,,1,,1,1,,,,,,,,,,,,,,,,,,,
01412,Sulignat,443,193,250,3,3,244,9,39,24,110,9,17,14,3,4,3,4,2,2,1,1,,2,,,,,,,,,,,,,,,,,,
01429,Vandeins,492,199,293,5,7,281,4,28,19,144,10,16,20,3,5,6,12,5,5,1,1,,1,,,,,,,,,,,,,,,,,,
01430,Varambon,413,165,248,4,3,241,14,26,31,97,8,11,23,4,5,5,9,3,1,2,,1,1,,,,,,,,,,,,,,,,,,
01454,Virignin,761,359,402,4,2,396,27,48,32,179,19,19,23,5,9,2,9,13,5,1,,2,2,,,,,,,,,,,,1,,,,,,
01294,Peyrieu,617,245,372,5,11,356,16,52,38,155,22,21,7,1,3,6,12,17,4,1,1,,,,,,,,,,,,,,,,,,,,
01295,Peyzieux-sur-Saône,445,183,262,8,6,248,8,36,20,104,8,14,26,7,2,4,6,6,,1,,2,1,,2,,,,,,,1,,,,,,,,,
01303,Poncin,1288,561,727,12,6,709,60,77,59,308,20,57,59,3,9,6,21,11,2,3,3,2,3,,,1,2,3,,,,,,,,,,,,,
01308,Pougny,474,285,189,2,2,185,21,24,30,36,9,8,14,4,4,6,8,10,9,,1,,1,,,,,,,,,,,,,,,,,,
01310,Prémeyzel,128,53,75,4,0,71,10,8,9,26,3,2,4,2,,1,,,,3,,1,1,,,,1,,,,,,,,,,,,,,
01311,Prémillieu,54,12,42,1,1,40,1,2,3,18,4,3,1,2,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,
01321,Revonnas,731,267,464,8,4,452,41,57,83,135,28,30,22,,8,7,8,13,7,7,2,2,,,,,,,,1,,1,,,,,,,,,
01330,Ruffieu,158,42,116,1,1,114,10,24,31,25,10,5,2,2,,1,2,,1,,,,,,,,,,,,,,,,,,,,,1,
01331,Saint-Alban,147,49,98,2,5,91,1,14,15,29,7,5,4,1,2,3,5,,2,1,1,,,,,,,,,,,,,1,,,,,,,
01346,Saint-Didier-d'Aussiat,625,269,356,13,12,331,14,48,35,125,15,31,15,8,4,5,16,2,4,6,1,1,1,,,,,,,,,,,,,,,,,,
01400,Seillonnaz,110,24,86,0,1,85,5,10,7,25,3,20,7,,3,,,3,1,,,,1,,,,,,,,,,,,,,,,,,
01062,Bressolles,733,285,448,8,3,437,27,69,55,141,32,43,24,2,8,6,10,5,6,3,1,,4,,1,,,,,,,,,,,,,,,,
01203,Laiz,972,424,548,5,5,538,16,83,67,225,20,43,23,6,18,3,8,15,1,,1,4,5,,,,,,,,,,,,,,,,,,
01204,Le Poizat-Lalleyriat,571,260,311,8,12,291,18,38,39,89,25,21,17,1,6,2,19,7,3,3,,2,,,1,,,,,,,,,,,,,,,,
01288,Péron,1590,809,781,8,9,764,61,134,113,202,62,53,39,14,16,15,17,1,13,3,6,7,2,,1,2,,,,1,,2,,,,,,,,,
01296,Pirajoux,314,168,146,1,5,140,5,9,10,72,4,5,13,8,2,,7,2,1,,1,1,,,,,,,,,,,,,,,,,,,
01031,Bellignat,1927,1026,901,7,11,883,133,111,63,343,32,59,55,6,13,10,15,30,3,3,1,2,2,,1,,,,,,,1,,,,,,,,,
01042,Bey,267,114,153,3,3,147,12,18,23,45,7,11,7,2,5,1,9,3,3,,,1,,,,,,,,,,,,,,,,,,,
01121,Corlier,94,28,66,2,3,61,,11,5,31,3,2,3,,3,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
01183,Guéreins,1135,530,605,7,8,590,39,74,63,238,24,52,30,6,11,12,21,9,5,,2,1,3,,,,,,,,,,,,,,,,,,
01208,Lavours,109,28,81,2,0,79,4,8,9,36,3,6,3,,1,3,3,1,,,1,1,,,,,,,,,,,,,,,,,,,
01276,Niévroz,1274,574,700,6,7,687,45,86,81,300,19,48,46,5,14,14,8,8,4,2,1,,4,,1,,1,,,,,,,,,,,,,,
01301,Polliat,2148,884,1264,18,17,1229,54,198,135,495,40,110,73,5,20,20,26,18,11,16,1,4,2,,,,,,,,,,,,,,,,1,,
01309,Pouillat,70,24,46,0,0,46,1,6,5,20,2,,2,,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,
01318,Rancé,578,218,360,5,0,355,22,40,40,159,12,28,24,5,6,3,3,8,4,,,,,,1,,,,,,,,,,,,,,,,
01339,Saint-Bernard,1331,540,791,8,5,778,21,162,105,237,40,78,51,10,16,22,8,18,3,,3,1,3,,,,,,,,,,,,,,,,,,
01397,Sauverny,657,324,333,2,3,328,18,83,44,80,21,25,25,5,3,10,2,3,3,1,,,3,,,,1,,,,,1,,,,,,,,,
01428,Valeins,106,32,74,1,3,70,5,10,3,37,1,8,1,,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,
01134,Crottet,1353,494,859,10,14,835,25,129,88,361,22,67,54,10,18,7,21,11,8,2,2,5,2,,1,,,,,,,,,1,1,,,,,,
01135,Crozet,1350,610,740,6,15,719,51,130,81,201,57,63,55,7,12,21,9,5,8,3,7,1,5,,2,,1,,,,,,,,,,,,,,
01367,Saint-Julien-sur-Reyssouze,472,207,265,6,6,253,9,26,16,123,13,26,17,2,6,1,4,4,4,1,,,1,,,,,,,,,,,,,,,,,,
01372,Saint-Martin-de-Bavel,359,149,210,2,5,203,18,36,41,53,13,7,4,1,2,6,8,6,3,,2,2,1,,,,,,,,,,,,,,,,,,
01190,Innimond,110,38,72,2,0,70,3,1,12,30,1,2,7,,1,,4,4,1,,,,,,,,,,,,,,,,4,,,,,,
01265,Montréal-la-Cluse,2168,1169,999,22,27,950,118,98,77,367,37,69,70,10,22,11,27,9,15,3,1,6,3,6,1,,,,,,,,,,,,,,,,
01092,Châtillon-la-Palud,1291,519,772,3,14,755,42,83,103,316,37,51,44,7,15,11,21,11,4,3,2,3,,,1,,1,,,,,,,,,,,,,,
01093,Châtillon-sur-Chalaronne,3885,1837,2048,38,38,1972,78,288,172,812,96,188,148,26,39,11,39,19,18,16,6,7,5,,3,,,,,,,1,,,,,,,,,
01102,Chevroux,724,321,403,10,8,385,10,56,26,203,7,32,14,4,7,3,8,4,4,,,3,,,1,,1,,,,,,,,,,2,,,,
01103,Chevry,1130,577,553,5,3,545,32,121,66,133,35,50,45,13,12,14,3,6,3,4,1,3,2,,2,,,,,,,,,,,,,,,,
01104,Chézery-Forens,363,138,225,0,12,213,14,34,27,74,14,13,14,2,1,5,7,1,5,,,,2,,,,,,,,,,,,,,,,,,
01105,Civrieux,1426,580,846,21,2,823,27,133,114,310,28,90,50,6,8,21,14,5,7,3,3,,1,,,1,,2,,,,,,,,,,,,,
01240,Matafelon-Granges,483,198,285,3,3,279,6,24,34,133,4,16,15,2,7,4,22,5,4,,,1,,,1,,1,,,,,,,,,,,,,,
01241,Meillonnas,1087,444,643,8,3,632,43,83,111,186,39,52,42,5,12,12,11,15,8,4,4,2,2,,1,,,,,,,,,,,,,,,,
01262,Montluel,4597,2090,2507,41,30,2436,357,285,301,793,124,164,134,28,55,54,34,50,17,8,7,8,6,2,3,,2,,,,,1,1,2,,,,,,,
01314,Priay,1242,527,715,5,12,698,36,69,79,305,37,47,38,6,16,8,14,11,12,6,1,5,5,,2,,1,,,,,,,,,,,,,,
